lat,lon,Score,PVOUT_csi,GHI,DNI,ELE,GTI_opta,OPTA,TEMP,DIF
28.78333,46.25,0.3531244617177841,1790.7305908203125,2106.0078125,1917.890625,292,2335.703125,30,25.5625,837.078125
28.80646,46.29756,0.3524773413855804,1788.9814453125,2103.515625,1913.0859375,269,2333.9375,30,25.625,838.1875
27.43333,40.65,0.3988903235237352,1977.435546875,2292.8828125,2447.546875,948,2567.0390625,31,22.75,692.5
21.00833,39.32389,0.3438558978147402,1839.336181640625,2241.6484375,1925.078125,10,2383.5859375,23,29.125,891.5625
29.3,42.46667,0.3768654114797734,1893.953125,2187.8359375,2223.609375,605,2454.75,31,23.875,744.2890625
22.63333,44.96667,0.37327198007978524,1890.8392333984373,2301.7734375,2136.8125,948,2477.46875,24,27.125,840.5703125
21.42417,39.83167,0.3418616596107206,1791.9517822265625,2241.265625,1927.96875,341,2373.0859375,22,29.875,869.1171875
22.98333,39.23333,0.3557264324211415,1831.2635498046875,2260.234375,2102.53125,91,2422.1875,24,29.9375,817.09375
18.2,42.76667,0.3795756924372355,1983.0308837890625,2362.890625,2351.390625,2173,2522.8984375,23,19.375,745.2109375
28.76306,40.44574,0.39601078389100797,1967.5791015625,2261.484375,2417.4765625,890,2563.125,32,21.6875,695.0546875
30.14304,39.07242,0.3875223915971511,1962.0062255859373,2227.8671875,2455.171875,651,2521.390625,32,21.875,658.640625
27.07535,39.47013,0.40253684126310385,1992.199462890625,2337.328125,2603.4140625,1453,2591.5078125,29,20.625,645.578125
19.74684,41.62602,0.31546686836292276,1743.2530517578125,2133.5625,1755.75,1473,2242.7265625,20,23.6875,876.7890625
25.8,45.26667,0.3697068863331707,1863.7825927734373,2233.140625,2127.5078125,763,2444.4375,27,25.9375,803.734375
27.94719,41.61448,0.3805220420973503,1908.3321533203125,2238.09375,2306.15625,984,2481.5859375,29,22.8125,732.6875
30.30345,40.34838,0.3857357438625798,1940.047119140625,2211.8828125,2359.6484375,744,2497.1796875,32,21.9375,696.7421875
31.27793,38.76937,0.38340743023957574,1943.9375,2203.0859375,2520.25,808,2487.921875,32,20.5,612.796875
31.26782,38.76305,0.3788668673250151,1939.601806640625,2203.015625,2520.234375,815,2479.90625,31,20.4375,612.9453125
22.82069,42.21729,0.37645054536394795,1898.685302734375,2307.484375,2122.1328125,1120,2481.0,25,26.75,827.7890625
22.72461,42.1708,0.3804209383627203,1904.2803955078125,2314.0546875,2169.0546875,943,2495.421875,25,27.1875,833.1875
24.9,46.36667,0.3751157286595184,1879.687255859375,2256.0546875,2161.0703125,736,2460.7578125,27,26.375,805.109375
19.0,41.5,0.3071963410862088,1700.27783203125,2121.203125,1601.0859375,238,2221.375,20,30.125,950.203125
27.11667,40.86667,0.3895372418722296,1967.1697998046875,2301.0703125,2482.8671875,1114,2552.5546875,28,22.8125,680.4921875
23.45,43.21667,0.384510291303649,1912.887939453125,2311.8984375,2207.2734375,1007,2507.859375,26,26.375,814.75
26.6595,50.10243,0.3115068968870684,1755.9190673828125,2084.9609375,1785.171875,0,2242.703125,23,26.4375,874.5546875
16.93422,42.8955,0.29260099907125137,1639.4329833984375,2051.3125,1453.234375,79,2143.078125,19,30.875,1004.515625
27.88333,43.88333,0.36677492088473695,1857.42236328125,2182.859375,2103.171875,621,2414.8515625,29,24.6875,793.84375
20.93344,44.04505,0.3758635585884908,1873.070556640625,2324.7109375,2121.1328125,1148,2482.90625,23,27.125,863.3671875
20.92028,43.99758,0.37555553031020233,1880.300048828125,2314.34375,2083.5546875,767,2479.015625,24,28.5625,876.125
17.66022,42.92267,0.3451517302559943,1857.47509765625,2258.359375,1992.3671875,1692,2375.53125,21,21.9375,845.0
20.8,42.85,0.38262082021608335,1916.319580078125,2353.3203125,2205.328125,1016,2521.5078125,24,27.125,831.03125
26.83333,48.53333,0.34753273376209626,1760.83740234375,2103.265625,1811.609375,161,2305.8984375,29,27.25,880.9375
20.21667,41.35,0.3581333779882728,1944.1544189453125,2287.140625,2290.46875,2156,2434.46875,22,18.5625,722.109375
17.4498,43.21325,0.31768590530938745,1813.6544189453125,2173.6015625,1897.6953125,2436,2273.09375,19,16.25,823.4609375
19.71667,41.35,0.32502759937368053,1704.690185546875,2168.4140625,1756.4609375,645,2286.9375,21,28.1875,911.703125
17.67231,43.52358,0.3808250172361235,1999.6214599609373,2399.1015625,2464.796875,2164,2557.15625,22,18.8125,710.5859375
17.9335,43.29185,0.3737211259265276,1996.51708984375,2371.140625,2446.40625,2524,2517.328125,22,16.375,687.234375
24.55,46.0,0.37997651778263475,1884.20166015625,2259.8359375,2140.75,708,2470.984375,28,26.4375,817.6875
27.11667,42.23333,0.3781389971572794,1919.331787109375,2265.28125,2350.0,1350,2490.3671875,27,22.375,710.8671875
27.03948,42.29175,0.37453390414068377,1904.983642578125,2245.5703125,2298.8984375,1073,2466.546875,27,23.75,733.671875
24.38615,38.19331,0.3724653994283887,1898.42138671875,2316.46875,2357.9375,139,2512.8671875,25,29.3125,732.0859375
17.04927,43.08004,0.28518257610439646,1614.9368896484375,2027.1171875,1418.0703125,220,2115.53125,19,29.75,990.8828125
24.39935,42.73009,0.3772673582364469,1886.679443359375,2277.8671875,2177.40625,934,2470.3671875,26,26.4375,808.5546875
30.16722,43.38167,0.36531586957444023,1845.098876953125,2120.53125,2045.8125,389,2383.921875,32,23.875,791.5625
29.98333,43.11667,0.36779640751923437,1854.2230224609373,2132.1796875,2070.703125,398,2396.6796875,32,23.9375,786.4296875
24.79,43.54361,0.3823026295691315,1907.385498046875,2281.265625,2209.328125,995,2486.3203125,27,25.625,796.78125
